links,公司名称,公司类型,内推码,备注,岗位(专业/岗位投递误区?(可点击)),工作地点,所属行业(新增),投递截止,投递进度,招聘公告,招聘对象,招聘类型,更新时间,相关链接
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/mkOraG3XEGhPIuE4-dCklw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/mkOraG3XEGhPIuE4-dCklw'}]",联邦制药,民企,-,-,医学专员，临床药理研究员，CRA-Ⅰ，客服，合同管理员，内容运营专员，短视频商务专员，直播商务专员，视频编导专员，研发设计（结构）工程师，工艺工程师，注塑技术员，设备维护工程师，质检员，药品研发，市场专员（国际医药业务），设备技术员（制药方向），注册专员，质管员 (现场 / 文件)，QA，QC，生产储备干部，销售内勤，出纳,"宁波,南阳,广州,中山",生物医药,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://mp.weixin.qq.com/s?__biz=MjM5NDQ1MzE5Ng==&mid=2650334446&idx=3&sn=8152d0babc26cfde2b83f18bf845710b&chksm=be8bc74d89fc4e5b4d05bee4ed4d4c8f712632be854245a1d944faa0ceeca3e8e8ea6e68a3a6#rd'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MjM5NDQ1MzE5Ng==&mid=2650334446&idx=3&sn=8152d0babc26cfde2b83f18bf845710b&chksm=be8bc74d89fc4e5b4d05bee4ed4d4c8f712632be854245a1d944faa0ceeca3e8e8ea6e68a3a6#rd'}]",中力,民企,-,-,技术研发类 机械工程师 AGV开发类 电机控制软件工程师 算法工程师(AI大模型方向) 算法工程师(机器人运动控制方向) 商业先锋类 销售工程师（相关专业：机械工程、车辆工程、机械电子工程、电气工程及其自动化、自动化、电子信息工程、智能装备与系统、市场营销、工商管理、计算机科学与技术、人工智能、数据科学与大数据技术、智能科学与技术、机器人工程......）,"靖江,杭州,襄阳,郑州",其他,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://hr.4399om.com/weixin/?r=job/agent&jobTableType=1'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/SgUYX93aB3R4kXKNAtmL1A'}]",4399游戏,民企,-,-,AI算法工程师 广告创意策划 运营中心-储备干部 产品培训生 游戏文案策划 人力资源管培生 视觉设计师 组织运营储备生 经营管理储备生 总经办助理,广州,游戏,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://job.cscec8b.com.cn/recruitment/job/detail/id/2660'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzU4NzMwNTIzNw==&mid=2247574362&idx=2&sn=2fe66ddc2da565737723462977fba7cc&chksm=fdedfb20ca9a7236dcdda21a68522270523cc14fd74c68a0306de6f9a2dcfe9eea333e6cece5#rd'}]",中建八局轨道公司,央国企,-,-,未告知岗位，专业要求：  1.基础设施类：土木工程、工程管理、工程造价、道路与桥梁工程、轨道交通工程、岩土工程、市政工程、城市地下空间工程、公路工程、安全工程、测绘工程、无机非金属材料、材料工程、机械设计与制造、水利水电工程等；  2.机电安装类：电气工程与自动化、给排水科学与工程、建筑环境及能源应用工程、建筑电气与智能化等  3.职能管理类：人力资源管理、行政管理、中文、汉语言文学、新闻学、工商管理等  4.财务管理类：会计学、财务管理、税务、审计学等,"北京,天津,吉林,上海,重庆,全国",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://xyz.51job.com/consumer/pc/home/index?ctmid=8912309'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=Mzg4OTY5Mjc3Mw==&mid=2247514623&idx=4&sn=6ce4c64e380b59ced2300f998c2782de&chksm=ce61c9db018e7cc83d744c36daf787b4dc308cbd52ea814f6d39ec568cc01ca17a9665441ad5&scene=0#rd'}]",中国能建国际集团,央国企,-,-,技术管理岗 商务合同管理岗 财务管理岗 法务管理岗 人力资源管理岗 信息化建设岗(需求专业：能源动力工程 储能科学与工程 新能源科学与工程 电气工程及其自动化 环境工程 工程造价 工程管理 管理科学与工程 国际经济与贸易 电子信息工程 计算机科学与技术 劳动与社会保障 人力资源管理 法学 经济法 民商法 国际法),"北京,海外",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://cncec.iguopin.com/job'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/RrCr3WkAtQzUak7Tf94OMA'}]",中国化学工程第十一建设有限公司,央国企,-,-,安装技术岗 土建技术岗 仪电技术岗 安全管理岗 工程造价岗 设材管理岗 财务管理岗 人力资源岗 法务岗 党务岗 翻译岗(专业需求为：化学工程与工艺、化工设备与机械、机械设计制造、 过程装备与控制工程、材料成型与控制工程、 焊接工程与技术、工程力学等 土木工程、建筑工程、市政工程、工程管理、 测绘工程、结构工程、建筑学、给排水工程等 电气工程及其自动化、自动化、测控技术等 安全管理(工程)、安全科学与工程等 工程造价、工程管理等相关专业 物流工程、材料科学工程、物流管理、供应链管理等 会计学、财务管理等 人力资源管理、劳动与社会保障等 法学、法律等专业 马克思主义理论、思想政治教育、汉语言文学等 英语、俄语、阿拉伯语、葡萄牙语等),"全国,海外",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://cncec.iguopin.com/job'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/nH16QKNJGoJ0jWaMdxGI3A'}]",中国化学土木公司,央国企,-,-,企业法务岗 审计管理岗 物资管理岗 综合管理岗 工程测绘岗 成本管理岗 英语翻译岗 财务管理岗,"南京,苏州,海外,泉州,台州","国企,地产/建筑",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://picc.zhiye.com/custom/kjxy?hideAll=true'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/-Csw66HWxQlTktEvN-7GSg'}]",中国人保,央国企,-,-,咨询投诉岗 质量管理岗 IT运维岗 咨询岗 95518客服岗 运行支持岗 运行支持岗 数据平台建设岗 运行支持岗 运行支持岗 运维管理岗 软件开发岗 运行支持岗 人工智能算法研发工程师 后端开发岗 软件开发工程师 薪酬绩效岗 出纳岗 人员管理岗,"北京,石家庄,上海,合肥,佛山,成都","国企,银行/金融",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://47.96.146.209:8111/zhaopin.php'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzI4NDQ1NjU3Mw==&mid=2247523439&idx=1&sn=9223312f8f387891c1077c4445e9d5ef&chksm=ebf9ff7ddc8e766bfc1bf35dbe7f22cad5b212b33b0b7cdf68779dce258d145ab01886936baa#rd'}]",浙江省发展规划研究院,事业单位,-,-,大型企业发展与改革研究 开放经济研究 经济形势分析 发展规划编制与理论研究 重大平台及重大项目研究 海洋经济战略规划研究 城市群与都市圈研究 区域经济与产业研究 城乡融合、新型城镇化和乡村振兴战略与省域实践研究 城市更新与片区开发研究 城乡规划技术应用与研究 现代物流与供应链管理咨询研究 低空经济研究 轨道交通咨询研究 港航发展规划咨询研究 项目投融资研究 水利发展规划咨询研究 区域发展与城乡规划咨询研究 集成电路产业研究 人工智能产业研究 高端装备产业研究 创新战略研究 生物医药产业研究 乡村振兴研究 产业平台研究 能源发展咨询研究 碳达峰碳中和咨询研究 生态评价与环境管理咨询研究 循环经济咨询研究 共同富裕咨询研究 人口和公共服务咨询研究 数字文化 综合规划岗 铁路项目咨询管理 党建理论研究与综合管理,杭州,事业单位,2025-11-30,未开始,公告,"2025届,2026届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://sast.m.zhiye.com/job.html?pi=1&ps=1000&jc=2&c1=1_8&ky=&c=&c2=-1'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/hQA-tJjLrtLtxSNcBSAPqA'}]",中国航天科技集团第八研究院第八〇二研究所,事业单位,-,-,未提及具体岗位，需求专业 ：信息与通信工程、电子科学与技术、控制科学与工程、仪器科学与技术、兵器科学与技术、集成电路、人工智能、机械工程、电子封装技术、材料加工技术、航空宇航科学与技术、光学工程、电气工程、大数据、云计算、计算机科学与技术等相关专业,上海,事业单位,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://mp.weixin.qq.com/s/-TBaImnqoONrMBqvsBKN-g'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/-TBaImnqoONrMBqvsBKN-g'}]",哈尔滨博实自动化股份有限公司,民企,-,-,机械工程师 电气工程师 软件工程师 售前技术支持 审计专员,哈尔滨,科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/6kDsUGj5V-Akytbx2HXzCA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/6kDsUGj5V-Akytbx2HXzCA'}]",中航陕飞,央国企,-,-,未告知岗位，所需专业为：人工智能 智能科学与技术 航空宇航科学与技术 飞行器设计与工程 飞行器制造工程 飞行器动力工程 飞行器环境与生命保障工程 飞行器适航技术 飞行器质量与可靠性 力学 机械工程 机械设计制造及其自动化 机械电子工程 智能制造 电磁场与无线技术 控制科学与工程 电气工程及其自动化 电子信息工程 自动化 信息与通信工程 复合材料与工程 材料科学与工程 材料成型及控制工程 计算机科学与技术 软件工程 网络工程 数据科学与大数据技术 网络与信息安全 企业管理 法学 人力资源管理 物流与供应链管理 工业工程,汉中,国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://newland.zhiye.com/campus/jobs?memory=&silence=1'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzA5NjMwMjAxNg==&mid=2650380968&idx=1&sn=ac7ea2da1ae921b93b8047e5d98f1cc0&chksm=88bf1c07bfc895110b6bbbf0f27e95ea92a587ae6665b82dad0fa720e05aa1eda96c208e62a9#rd'}]",新大陆科技集团,民企,-,-,算法 Java Android 嵌入式 数据开发 测试开发 web前端 产品管理 人工智能教学研究员 软件测试 系统运维 研发管培生 C#/X++/.net 硬件开发 电气 自动化 市场营销管培生 生产计划 PE 商务 财务 技术支持 售前 销售工程师 机电系统工程师 海外技术支持,"北京,天津,南京,无锡,杭州,福州,厦门,郑州,广州,南宁,重庆,西安,乌鲁木齐,海外",科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://urovo.zhiye.com/campus/jobs?LocId=id4403label'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/wWWUROgzkIh2YdESP24PwA'}]",深圳市优博讯科技股份有限公司,民企,-,-,"软件开发工程师，项目管理工程师，硬件开发工程师，FAE 技术文员，硬件测试工程师，软件测试工程师，海外商务专员（小语种优先 / 储备销售）, 行业销售助理工程师（国内外）, 海外技术支持工程师（储备销售）, 海外销售工程师，海外销售助理（储备销售）,PQE 工程师，SQE 工程师，ME&IE 工程师，采购工程师，人力资源助理","深圳,珠海",互联网,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://maker.haier.net/client/campusmobile/researchlist.html?page=1&pagesize=10&pagesource=1&id=47&customized=1&khaos=&ai_recommend=&keyword=&bu=01&fid=9&place=&inviter_code='}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/CCcB9q-K2S5VNBoe5Igpng'}]",海尔智家,民企,-,-,智造技术工程师 智造管理工程师（专业要求: 机械类、材料类、自动化类、控制类、电气类、电子类、工程类、计算机技术类、语言类、人工智能类等相关专业优先;）,"天津,沈阳,大连,五大连池,上海,合肥,青岛,莱阳,郑州,武汉,佛山,重庆,遵义","消费,科技",招满为止,未开始,公告,"2026届,4",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://job.cscec8b.com.cn/8bbj'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/CYpb6Jim4vbZG5TKcGvwjQ'}]",中建八局北京公司,央国企,-,-,未提及具体岗位，招聘需求专业：  土木工程类：土木工程、工程力学、工程管理、工程造价、安全工程、机械工程、测绘工程等；  基础设施类：道路桥梁与渡河工程、公路工程、交通工程、城市地下空间工程、水利水电工程、能源与动力工程、新能源科学与工程、可再生能源科学与工程、机械工程及其自动化等；  建筑设计类：建筑学、结构力学等；  机电安装类：电气工程及其自动化、建筑电气与智能化、给排水科学与工程、建筑环境与能源应用工程、环境工程、通信工程等。  数字建造类：计算机科学与技术、网络安全、数据科学与大数据技术、物联网工程、软件工程、机器人工程等；  职能管理类：汉语言文学、新闻学、哲学、法学、人力资源管理、会计学、财务管理、行政管理、工商管理、企业管理等,北京,国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://www.iguopin.com/company?id=10685309758547429'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzUyMTAzODUxMQ==&mid=2247506004&idx=1&sn=fdfed0beb723ca7cdaabf7bc4fc32bf8&chksm=f9e3a794ce942e82293126eb8997e7025556669f0785ddd84fbdf348b2622fb14476849df431#rd'}]",中国航空研究院,央国企,-,-,"职能管理岗  技术研究岗(专业需求为：管理学、经济学、工学等相关专业,覆盖物流管理与工程(含供应链优化)、会计学(含财务分析)、工商管理(含组织管理)、计算机科学与技术(网络安全、信息化方向)、网络空间安全(含保密技术)、公共管理(含体系建设)、航空宇航推进理论与工程、工程热物理、热能工程、动力机械及女工程、流体机械及工程、制冷及低温工程、化工过程机械、飞行器设计、机械设计及理论、机械制造及其自动化、机械电子工程、软件工程、流体力学、计算力学、固体力学、工程力学、控制理论与控制工程、计算数学、电机与电器、电力电子与电力传动、电工理论与新技术等 相关专业)",北京,国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/W9-qg8e8TT_y3Q0WH_DiSg'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/W9-qg8e8TT_y3Q0WH_DiSg'}]",中铁十一局,央国企,-,-,工作站博士后勘察设计岗技术管理岗安全管理岗财务管理岗经济管理岗物资设备岗机械设备岗行政管理岗其他专业岗;,全国,建筑地产/市政工程,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://infypower.zhiye.com/campus/jobs'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/9EALUsUwy6lCLIa_wmhQag'}]",英飞源技术,民企,-,-,电源硬件工程师 监控硬件工程师设备开发工程师 DSP软件工程师Java开发工程师测试工程师 监控软件工程师电气开发工程师技术支持工程师因内/海外校招供应链管理量管理 采购管理成本管理;,深圳东莞南京重庆珠海,能源/电力,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://xy.liepin.com/lskj2026/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/2E0fRgLk6i67B3tHtHjREg'}]",蓝思科技,民企,-,-,博士生专区工程技术类品质管理类项目管理刺职能管理类生产技术类海外管培生实习生专区;,长沙湘潭东莞泰州海外,电子/半导体,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/oMHGkfcVqRz6uns68GOPDw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/oMHGkfcVqRz6uns68GOPDw'}]",艾罗能源,民企,-,-,研发测试类市场营销类生产制造类,北京上海杭州合肥南京武汉长沙成都西綯糍楯銨沕➅慤闻鍰萣覯纨伦哈尔滨天津郑州,能源/电力,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/FNP_v0w7j9mB6R7AEvWr3g'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/FNP_v0w7j9mB6R7AEvWr3g'}]",航天时代低空科技有限公司,央国企,-,-,电气工程 计算机科学与技术软件工程仪器科学与技术飞行器动力学与控制控制理论与控制工程网络空间安全基础信息与图像处理电子科学与技术航空宇航科学与技术交通运输工程 信息与通信工程 导航制导与控制飞,重庆北京上海杭州,高端装备与国防科技/航空航天,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://zofund.zhiye.com/campus'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/qJJ-aa3KhBaBbGLEZJSYiw'}]",中欧基金,民企,-,-,投运类科技类市场类子公司岗位;,北京上海南京杭州,金融/证券,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://campushr.hikvision.com/school?schoolType=nozxf'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/5EOnpfx9sWmcGyd3fPe0Vw'}]",海康机器人,央国企,-,-,算法/网络安全/大数据类软件/嵌入式类件/结构类器件电路类国内营销/技术支持类测试/支持类供应链类体验设计类综类,杭州西安北京上海苏州深圳武汉广州天津成都济南沈阳长沙合肥郑州厦门贵阳重庆东莞惠州,智能硬件/机器人,招满为止,未投递,公告,2025和2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://career.cmbchina.com/positionlist/96574F8D-C7ED-4772-AE7C-BAC896D190C1'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/rwO1pjtZKevsSdJgjT5Ulw'}]",招银理财,央国企,-,-,固收研究岗权益研究岗固收交易岗;,深圳 上海,金融/证券,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/ltgY-WNQJhiv6TS4GMsXSQ'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/ltgY-WNQJhiv6TS4GMsXSQ'}]",衡钢,央国企,-,-,金属材料类冶金类机械类电类类综合管理类现场操作类设备维修类,湖南衡阳,矿产/钢铁,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus-recruitment/zjshc/68379#/jobs?page=1&anchorName=jobsList'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/9fwKLWdvd-9Rj4bKx515qA'}]",三花汽零,民企,-,-,研发技术类制造类营销类职能类;,杭州绍兴中山海外,车企/汽车零部件,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/YBzQ8WIMj5vOS8kkSj2z6A'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/YBzQ8WIMj5vOS8kkSj2z6A'}]",西安航天动力试验技术研究所,事业单位,-,-,试验测试技术岗试验工艺技术岗信息化技术岗技术研发岗;,西安,学术科研/研究所,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus_apply/nwcdcloud/4047#/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/mUmTsVf7gBN3Fp31nrw4TQ'}]",西云数据,民企,-,-,亚马逊云技术支持工程师,北京,IT/互联网,招满为止,未投递,公告,2025和2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://hr.cnnc.com.cn/xiaoyuan2025?k=&d=&c=&p=3-1,'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/wNTbo5qB32Vq2YCBV0hoFQ'}]",中辐院,事业单位,-,-,核工程与核技术、辐射防护、环境、电子信息、药理毒理、生物化学、自动化控制、核电子学、化学化工、机械、材料、安全工程、放射药物、智能装备、放射化学、人工智能相关专业,太原,学术科研/研究所,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/1Pv2LylxjOtHjX2RaUnTjw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/1Pv2LylxjOtHjX2RaUnTjw'}]",恒力重工,民企,-,-,研发设计储干、生产/质量储干、行政类专员储干(采购、商务、财务行政、文字)、技术员,大连,机械装备/电气系统,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/6kDsUGj5V-Akytbx2HXzCA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/6kDsUGj5V-Akytbx2HXzCA'}]",中航工业陕飞,央国企,-,-,人工智能类航空类机械类电子电气类材料类计算机类管理类;,陕西汉中,高端装备与国防科技,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/hQA-tJjLrtLtxSNcBSAPqA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/hQA-tJjLrtLtxSNcBSAPqA'}]",上海航天802所,事业单位,-,-,信息与通信工程、电子科学与技术、控制科学与工程、仪器科学与技术、兵器科学与技术、集成电路、人工智能、机械工程、电子封装技术、材料加工技术、航空宇航科学与技术、光学工程、电气工程、大数据、云计算、计算机,上海,学术科研/研究所,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://campus.51job.com/mj2026/about2.html'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/pjsYodOnZFA7ePngPjV_EA'}]",中国航空工业集团机载,央国企,-,-,系统设计N性设计综合管理计划财务集成验证元器件/标材/工艺质量管理人力资源技术研究采购管理适航体系纪检审计,上海,高端装备与国防科技,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/3FQfjwok27PoBJ3TnNw8GA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/3FQfjwok27PoBJ3TnNw8GA'}]",华沿机器人,民企,-,-,研发类营销类供应链类职能类:,深圳佛山无锡天津成都上海海外等地,智能硬件/机器人,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://kejiajidian.hotjob.cn/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/NVbIIWX-sU5Hd9_hOVlh1Q'}]",科佳股份,民企,-,-,高级图像算法工程师 图像算法工程师 算法需求工程师;,哈尔滨,IT/互联网,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://job.cscec8b.com.cn/8bsdcf'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/RPZbTTeLudh1tMWxTLh7iQ'}]",山东中建城市发展有限公司,央国企,-,-,投资拓展岗金融管理岗招商运营岗工程管理岗商务管理岗财务管理岗法务理岗料研发岗党群管理岗人力资源岗;,山东北京上海南京全国其他,建筑地产/市政工程,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/cjVUBumPDdZ_RmiuftRS7A'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/cjVUBumPDdZ_RmiuftRS7A'}]",爱生集团,央国企,-,-,飞行器设计机电综合设计飞控与导航设计供电与伺服设计人工智能应用技术设计指挥系统设计数据链设计发动机设计机/电工艺设计软件测试岗 飞行试验岗;,西安北京南京东莞溧阳 婧边等,高端装备与国防科技,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus-recruitment/bosch/73873?sourceToken=8f13b410ddad139d5dc70badb4b1a34b&sessionid=#/page/2026'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/P1ktC6g8xYaB_zLsg7E69w'}]",博世中国创新与软件开发中心,外企,-,-,辅助驾驶感知软件开发工程师辅助驾驶应用软件功能开发工程师 辅助驾驶规控软件开发工程师 辅助驾驶功能开发工程师 辅助驾驶感知算法工程师 智能座舱AI中间件与平台开发(AIOS)大语言模型工程师Autosar基础,无锡,车企/汽车零部件,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://mh.hire66.com/position?secret_key=O8wvS7JBcc'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/95QS_5h6Eja2btGSf6w9oA'}]",稳博投资,民企,-,-,量化研究员量化开发工程师,上海,金融/证券,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://urovo.zhiye.com/campus/jobs'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/wWWUROgzkIh2YdESP24PwA'}]",优博讯,民企,-,-,研发体系营销体系供应链系统职能类;,深圳珠海,智能硬件/机器人,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://www.focaltech-electronics.com/zh-CN/University/index'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/MeIF-TjnBDbwEcEPPG5OYA'}]",敦泰电子,民企,-,-,模拟IC设计工程师数字IC设计工程师IC验证硬件工程师数字IC验证工程师模拟版图设计工程师 算法工程师 嵌入式软件工程师 硬件工程师 测试工程师;,深圳 合肥,电子/半导体,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://campus.51job.com/ccepc/about1.html'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/KWMQqt9JtVpq-keCiIgUqA'}]",中冶南方都市环保,央国企,-,-,研发设计岗技术营销岗(含海外)工程咨询岗,武汉,节能环保/环境检测,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/_tdhBT56UKIvGHEeC4hlbw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/_tdhBT56UKIvGHEeC4hlbw'}]",中国航天科工四院,事业单位,-,-,下属各部门岗位，具体见官方公告及投递方式链接,北京南京,学术科研/研究所,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus-recruitment/ascenpower/142952?locale=zh-CN#/jobs'}, {'text': '公告', 'href': 'https://app.mokahr.com/campus-recruitment/ascenpower/142952?locale=zh-CN#/'}]",芯粤能,民企,-,-,芯火计划 研发工程师 工艺整合工程师工艺工程师 设备工程师制造工程师CIM工程师;,广州,电子/半导体,招满为止,未投递,公告,2026年毕业生,秋招,2025-09-03,投递
